2024-04-29T11:01:38.18579 | info | custom#ClearExpiredData | ./classes/Trade/Process/ClearExpiredData.php:65 | [清理数据] 清理购买耗时: 购买:0.00097489356994629, 卖出:0.0059120655059814, 挂单:0.0052180290222168，摆摊挂单:0.0052039623260498, 摆摊购买:0.0052099227905273, 摆摊出售:0.0052070617675781, 交易所未取回订单:0.0057101249694824, 摆摊未取回订单:0.010977029800415, 累计:0.044413089752197
2024-04-29T11:04:38.25341 | info | custom#ClearExpiredData | ./classes/Trade/Process/ClearExpiredData.php:65 | [清理数据] 清理购买耗时: 购买:0.00098609924316406, 卖出:0.0060129165649414, 挂单:0.0059590339660645，摆摊挂单:0.0052120685577393, 摆摊购买:0.0052170753479004, 摆摊出售:0.0052039623260498, 交易所未取回订单:0.0057358741760254, 摆摊未取回订单:0.0057060718536377, 累计:0.040033102035522
2024-04-29T11:07:38.24647 | info | custom#ClearExpiredData | ./classes/Trade/Process/ClearExpiredData.php:65 | [清理数据] 清理购买耗时: 购买:0.00096607208251953, 卖出:0.0052289962768555, 挂单:0.0052080154418945，摆摊挂单:0.0051960945129395, 摆摊购买:0.0052089691162109, 摆摊出售:0.0060229301452637, 交易所未取回订单:0.0058910846710205, 摆摊未取回订单:0.0056788921356201, 累计:0.039401054382324
2024-04-29T11:10:38.24748 | info | custom#ClearExpiredData | ./classes/Trade/Process/ClearExpiredData.php:65 | [清理数据] 清理购买耗时: 购买:0.00019311904907227, 卖出:0.0052249431610107, 挂单:0.0060160160064697，摆摊挂单:0.0052118301391602, 摆摊购买:0.0052170753479004, 摆摊出售:0.0052030086517334, 交易所未取回订单:0.0057439804077148, 摆摊未取回订单:0.0056910514831543, 累计:0.038501024246216
2024-04-29T11:13:38.24571 | info | custom#ClearExpiredData | ./classes/Trade/Process/ClearExpiredData.php:65 | [清理数据] 清理购买耗时: 购买:0.00021600723266602, 卖出:0.0052511692047119, 挂单:0.0060458183288574，摆摊挂单:0.0052170753479004, 摆摊购买:0.0052130222320557, 摆摊出售:0.0052080154418945, 交易所未取回订单:0.00571608543396, 摆摊未取回订单:0.0056769847869873, 累计:0.038544178009033
2024-04-29T11:16:38.24807 | info | custom#ClearExpiredData | ./classes/Trade/Process/ClearExpiredData.php:65 | [清理数据] 清理购买耗时: 购买:0.0012140274047852, 卖出:0.0061171054840088, 挂单:0.0061039924621582，摆摊挂单:0.0052409172058105, 摆摊购买:0.0052480697631836, 摆摊出售:0.0052359104156494, 交易所未取回订单:0.005964994430542, 摆摊未取回订单:0.0058999061584473, 累计:0.041024923324585
2024-04-29T11:19:38.24977 | info | custom#ClearExpiredData | ./classes/Trade/Process/ClearExpiredData.php:65 | [清理数据] 清理购买耗时: 购买:0.0010349750518799, 卖出:0.0060999393463135, 挂单:0.0059981346130371，摆摊挂单:0.0052130222320557, 摆摊购买:0.00522780418396, 摆摊出售:0.0052180290222168, 交易所未取回订单:0.0057981014251709, 摆摊未取回订单:0.0057060718536377, 累计:0.040296077728271
2024-04-29T11:22:38.24902 | info | custom#ClearExpiredData | ./classes/Trade/Process/ClearExpiredData.php:65 | [清理数据] 清理购买耗时: 购买:0.0002598762512207, 卖出:0.0052990913391113, 挂单:0.0064809322357178，摆摊挂单:0.0052850246429443, 摆摊购买:0.005295991897583, 摆摊出售:0.0052878856658936, 交易所未取回订单:0.0059471130371094, 摆摊未取回订单:0.0057439804077148, 累计:0.039599895477295
2024-04-29T11:25:38.24980 | info | custom#ClearExpiredData | ./classes/Trade/Process/ClearExpiredData.php:65 | [清理数据] 清理购买耗时: 购买:0.0014538764953613, 卖出:0.0062301158905029, 挂单:0.0062189102172852，摆摊挂单:0.0052490234375, 摆摊购买:0.0052239894866943, 摆摊出售:0.0054140090942383, 交易所未取回订单:0.0057251453399658, 摆摊未取回订单:0.0056970119476318, 累计:0.04121208190918
